company_id,from_year,to_year,from_pattern,to_pattern
KOTAKBANK,2022-03,2023-03,Mixed,Growth Funded by Debt
KOTAKBANK,2023-03,2024-03,Growth Funded by Debt,Mixed
LICI,2019-03,2020-03,Liquidating Assets,Shareholder Returns
LICI,2020-03,2021-03,Shareholder Returns,Liquidating Assets
LICI,2021-03,2022-03,Liquidating Assets,Mixed
LICI,2022-03,2023-03,Mixed,Shareholder Returns
LICI,2023-03,2024-03,Shareholder Returns,Reinvestor
LODHA,2016-03,2017-03,Mixed,Shareholder Returns
LODHA,2017-03,2018-03,Shareholder Returns,Mixed
LODHA,2018-03,2019-03,Mixed,Growth Funded by Debt
LODHA,2019-03,2020-03,Growth Funded by Debt,Liquidating Assets
LODHA,2023-03,2024-03,Liquidating Assets,Mixed
LT,2016-03,2017-03,Growth Funded by Debt,Mixed
LT,2017-03,2018-03,Mixed,Distress Signal
LT,2018-03,2019-03,Distress Signal,Growth Funded by Debt
LT,2019-03,2020-03,Growth Funded by Debt,Mixed
LT,2020-03,2021-03,Mixed,Shareholder Returns
LT,2023-03,2024-03,Shareholder Returns,Liquidating Assets
LTIM,2013-03,2014-03,Shareholder Returns,Liquidating Assets
LTIM,2014-03,2015-03,Liquidating Assets,Reinvestor
LTIM,2015-03,2016-03,Reinvestor,Shareholder Returns
LTIM,2017-03,2018-03,Shareholder Returns,Reinvestor
LTIM,2019-03,2020-03,Reinvestor,Shareholder Returns
LTIM,2021-03,2022-03,Shareholder Returns,Reinvestor
LTIM,2023-03,2024-03,Reinvestor,Shareholder Returns
M&M,2014-03,2015-03,Growth Funded by Debt,Mixed
M&M,2018-03,2019-03,Mixed,Growth Funded by Debt
M&M,2020-03,2021-03,Growth Funded by Debt,Mixed
M&M,2021-03,2022-03,Mixed,Shareholder Returns
M&M,2022-03,2023-03,Shareholder Returns,Growth Funded by Debt
MARUTI,2018-03,2019-03,Shareholder Returns,Reinvestor
MARUTI,2020-03,2021-03,Reinvestor,Shareholder Returns
MARUTI,2021-03,2022-03,Shareholder Returns,Reinvestor
MARUTI,2022-03,2023-03,Reinvestor,Shareholder Returns
MOTHERSON,2014-03,2015-03,Shareholder Returns,Mixed
MOTHERSON,2015-03,2016-03,Mixed,Shareholder Returns
MOTHERSON,2016-03,2017-03,Shareholder Returns,Mixed
MOTHERSON,2017-03,2018-03,Mixed,Shareholder Returns
MOTHERSON,2023-03,2024-03,Shareholder Returns,Mixed
NAUKRI,2013-03,2014-03,Reinvestor,Mixed
NAUKRI,2015-03,2016-03,Mixed,Reinvestor
NAUKRI,2019-03,2020-03,Reinvestor,Liquidating Assets
NAUKRI,2020-03,2021-03,Liquidating Assets,Mixed
NESTLEIND,2018-12,2019-12,Shareholder Returns,Liquidating Assets
NESTLEIND,2019-12,2020-12,Liquidating Assets,Shareholder Returns
NHPC,2013-03,2014-03,Reinvestor,Shareholder Returns
NHPC,2019-03,2020-03,Shareholder Returns,Mixed
NHPC,2020-03,2021-03,Mixed,Shareholder Returns
NTPC,2013-03,2014-03,Mixed,Shareholder Returns
NTPC,2016-03,2017-03,Shareholder Returns,Mixed
NTPC,2020-03,2021-03,Mixed,Shareholder Returns
ONGC,2013-03,2014-03,Shareholder Returns,Mixed
ONGC,2014-03,2015-03,Mixed,Shareholder Returns
ONGC,2017-03,2018-03,Shareholder Returns,Mixed
ONGC,2018-03,2019-03,Mixed,Shareholder Returns
PFC,2014-03,2015-03,Distress Signal,Growth Funded by Debt
PFC,2016-03,2017-03,Growth Funded by Debt,Mixed
PFC,2017-03,2018-03,Mixed,Distress Signal
PFC,2018-03,2019-03,Distress Signal,Growth Funded by Debt
PFC,2020-03,2021-03,Growth Funded by Debt,Distress Signal
PFC,2021-03,2022-03,Distress Signal,Reinvestor
PFC,2022-03,2023-03,Reinvestor,Growth Funded by Debt
PIDILITIND,2013-03,2014-03,Shareholder Returns,Reinvestor
PIDILITIND,2014-03,2015-03,Reinvestor,Shareholder Returns
PIDILITIND,2016-03,2017-03,Shareholder Returns,Mixed
PIDILITIND,2017-03,2018-03,Mixed,Liquidating Assets
PIDILITIND,2018-03,2019-03,Liquidating Assets,Reinvestor
PIDILITIND,2019-03,2020-03,Reinvestor,Liquidating Assets
PIDILITIND,2020-03,2021-03,Liquidating Assets,Shareholder Returns
PIDILITIND,2021-03,2022-03,Shareholder Returns,Reinvestor
PIDILITIND,2022-03,2023-03,Reinvestor,Shareholder Returns
PNB,2013-03,2014-03,Pre-Revenue,Mixed
PNB,2016-03,2017-03,Mixed,Liquidating Assets
PNB,2017-03,2018-03,Liquidating Assets,Distress Signal
PNB,2018-03,2019-03,Distress Signal,Growth Funded by Debt
PNB,2020-03,2021-03,Growth Funded by Debt,Mixed
PNB,2023-03,2024-03,Mixed,Growth Funded by Debt
POWERGRID,2018-03,2019-03,Mixed,Shareholder Returns
POWERGRID,2021-03,2022-03,Shareholder Returns,Liquidating Assets
POWERGRID,2022-03,2023-03,Liquidating Assets,Shareholder Returns
RECLTD,2015-03,2016-03,Distress Signal,Growth Funded by Debt
RECLTD,2016-03,2017-03,Growth Funded by Debt,Shareholder Returns
RECLTD,2017-03,2018-03,Shareholder Returns,Distress Signal
RECLTD,2021-03,2022-03,Distress Signal,Growth Funded by Debt
RELIANCE,2015-03,2016-03,Mixed,Shareholder Returns
RELIANCE,2016-03,2017-03,Shareholder Returns,Mixed
RELIANCE,2017-03,2018-03,Mixed,Shareholder Returns
RELIANCE,2018-03,2019-03,Shareholder Returns,Mixed
RELIANCE,2019-03,2020-03,Mixed,Shareholder Returns
RELIANCE,2020-03,2021-03,Shareholder Returns,Mixed
RELIANCE,2023-03,2024-03,Mixed,Shareholder Returns
SBILIFE,2013-03,2014-03,Shareholder Returns,Reinvestor
SBILIFE,2014-03,2015-03,Reinvestor,Shareholder Returns
SBILIFE,2020-03,2021-03,Shareholder Returns,Mixed
SBILIFE,2021-03,2022-03,Mixed,Shareholder Returns
SBIN,2013-03,2014-03,Shareholder Returns,Mixed
SBIN,2014-03,2015-03,Mixed,Shareholder Returns
SBIN,2015-03,2016-03,Shareholder Returns,Mixed
SBIN,2016-03,2017-03,Mixed,Reinvestor
SBIN,2017-03,2018-03,Reinvestor,Distress Signal
SBIN,2018-03,2019-03,Distress Signal,Cash Accumulator
SBIN,2019-03,2020-03,Cash Accumulator,Mixed
SBIN,2021-03,2022-03,Mixed,Shareholder Returns
SBIN,2022-03,2023-03,Shareholder Returns,Growth Funded by Debt
SBIN,2023-03,2024-03,Growth Funded by Debt,Reinvestor
SHREECEM,2017-03,2018-03,Shareholder Returns,Mixed
SHREECEM,2018-03,2019-03,Mixed,Shareholder Returns
SHREECEM,2019-03,2020-03,Shareholder Returns,Mixed
SHREECEM,2020-03,2021-03,Mixed,Shareholder Returns
SHRIRAMFIN,2017-03,2018-03,Growth Funded by Debt,Distress Signal
SHRIRAMFIN,2018-03,2019-03,Distress Signal,Growth Funded by Debt
SHRIRAMFIN,2022-03,2023-03,Growth Funded by Debt,Distress Signal
SHRIRAMFIN,2023-03,2024-03,Distress Signal,Growth Funded by Debt
SIEMENS,2017-09,2018-09,Liquidating Assets,Reinvestor
SIEMENS,2018-09,2019-09,Reinvestor,Shareholder Returns
SIEMENS,2019-09,2020-09,Shareholder Returns,Liquidating Assets
SIEMENS,2020-09,2021-09,Liquidating Assets,Shareholder Returns
SIEMENS,2021-09,2022-09,Shareholder Returns,Reinvestor
SUNPHARMA,2013-03,2014-03,Reinvestor,Mixed
SUNPHARMA,2014-03,2015-03,Mixed,Shareholder Returns
SUNPHARMA,2016-03,2017-03,Shareholder Returns,Reinvestor
